brand,model_full,year,km,fuel,gearbox,price
RENAULT,RENAULT CLIO 5,2022.0,11.0, Essence, mécanique,19320.0
PEUGEOT,PEUGEOT 208 (2E GENERATION),2021.0,19589.0, Essence, mécanique,22130.0
JAGUAR,JAGUAR F-PACE,2018.0,85120.0, Diesel, automatique,44680.0
RENAULT,RENAULT TRAFIC 3,2022.0,12.0, Diesel, mécanique,34160.0
VOLKSWAGEN,VOLKSWAGEN T-CROSS,2022.0,11.0, Essence, automatique,32460.0
RENAULT,RENAULT GRAND SCENIC 4,2019.0,74239.0, Diesel, mécanique,20510.0
PEUGEOT,PEUGEOT 3008 (2E GENERATION),2020.0,45206.0, Diesel, mécanique,30960.0
ALFA,ALFA ROMEO GIULIA 2,2022.0,12.0, Essence, automatique,65530.0
NISSAN,NISSAN QASHQAI 3,2022.0,11.0, Essence, mécanique,39420.0
AUDI,AUDI S5 CABRIOLET,2015.0,77732.0, Essence, automatique,34620.0
ASTON,ASTON MARTIN V8 VANTAGE,2014.0,25403.0, Essence, automatique,84780.0
FIAT,FIAT 500 (2E GENERATION),2019.0,42329.0, Essence, mécanique,12370.0
BMW,BMW X2 F39,2019.0,114921.0, Diesel, automatique,29680.0
PEUGEOT,PEUGEOT 3008 (2E GENERATION),2020.0,27896.0, Diesel, mécanique,31340.0
KIA,KIA STONIC,2022.0,120.0, Essence, mécanique,27040.0
LAND,LAND ROVER DISCOVERY SPORT,2022.0,10440.0, Diesel, automatique,72960.0
PEUGEOT,PEUGEOT 3008 (2E GENERATION),2022.0,2950.0, Diesel, automatique,45900.0
PEUGEOT,PEUGEOT 3008 (2E GENERATION),2017.0,118616.0, Diesel, mécanique,14700.0
HYUNDAI,HYUNDAI SANTA FE 4,2022.0,7052.0, Hybride essence électrique, automatique,58880.0
PEUGEOT,PEUGEOT 2008,2019.0,33940.0, Essence, mécanique,16940.0
MERCEDES,MERCEDES CLASSE C 3 SW,2019.0,99150.0, Diesel, automatique,25720.0
BMW,BMW SERIE 6 F12 CABRIOLET,2012.0,140662.0, Essence, automatique,31900.0
PEUGEOT,PEUGEOT 208 AFFAIRE,2018.0,122234.0, Diesel, mécanique,6850.0
NISSAN,NISSAN QASHQAI 2,2020.0,54246.0, Essence, mécanique,22030.0
PEUGEOT,PEUGEOT 3008 (2E GENERATION),2018.0,67911.0, Diesel, mécanique,22690.0
VOLKSWAGEN,VOLKSWAGEN TIGUAN 2 ALLSPACE,2021.0,21780.0, Diesel, automatique,49580.0
ASTON,ASTON MARTIN VANTAGE 2 ROADSTER,2010.0,87580.0, Essence, automatique,79440.0
AUDI,AUDI A4 (5E GENERATION) AVANT,2017.0,79948.0, Diesel, automatique,23520.0
JAGUAR,JAGUAR XK8 COUPE,2007.0,121232.0, Essence, automatique,27720.0
FIAT,FIAT 500 (2E GENERATION),2020.0,23728.0, Essence, mécanique,14670.0
SKODA,SKODA KAROQ,2022.0,107.0, Essence, mécanique,36360.0
LAND,LAND ROVER RANGE ROVER EVOQUE,2017.0,71104.0, Diesel, automatique,31340.0
PORSCHE,PORSCHE PANAMERA 2,2018.0,54612.0, Essence, automatique,116430.0
